Brand,Flavor,Description
Ben and Jerry's,Salted Caramel Core,Sweet Cream Ice Cream with Blonde Brownies & a Salted Caramel Core
Ben and Jerry's,Netflix & Chilll'd™,Peanut Butter Ice Cream with Sweet & Salty Pretzel Swirls & Fudge Brownies
Ben and Jerry's,Chip Happens,A Cold Mess of Chocolate Ice Cream with Fudge Chips & Crunchy Potato Chip Swirls
Ben and Jerry's,Cannoli,Mascarpone Ice Cream with Fudge-Covered Pastry Shell Pieces & Mascarpone Swirls
Ben and Jerry's,Gimme S’more!™,"Toasted Marshmallow Ice Cream with Chocolate Cookie Swirls, Graham Cracker Swirls & Fudge Flakes"
Ben and Jerry's,Peanut Butter Half Baked®,Chocolate & Peanut Butter Ice Creams Mixed with Gobs of Peanut Butter Cookie Dough & Fudge Brownies
Ben and Jerry's,Berry Sweet Mascarpone,Blackberry & Mascarpone Ice Creams with Shortbread Cookies & Fudge-Covered Almonds
Ben and Jerry's,Chocolate Peanut Butter Split,Chocolate & Banana Ice Creams with Mini Peanut Butter Cups
Ben and Jerry's,Justice ReMix'd ™,Cinnamon & Chocolate Ice Creams with Gobs of Cinnamon Bun Dough & Spicy Fudge Brownies
Ben and Jerry's,Boots on the Moooo’n™,A Universe of Milk Chocolate Ice Cream with Fudge Cows & Toffee Meteor Clusters Orbiting a Sugar Cookie Dough Core
Ben and Jerry's,Americone Dream®,Vanilla Ice Cream with Fudge-Covered Waffle Cone Pieces & a Caramel Swirl
Ben and Jerry's,Bourbon Pecan Pie,"Buttery Bourbon Ice Cream with Pecans, Shortbread Cookie Pieces & a Whiskey Caramel Swirl"
Ben and Jerry's,Brewed to Matter™,Coffee Ice Cream with Fudge Chunks & a Brownie Batter Swirl
Ben and Jerry's,Caramel Chocolate Cheesecake,Caramel Cheesecake Ice Cream with Cheesecake Pieces & Chocolate Cookie Swirls
Ben and Jerry's,Cherry Garcia®,Cherry Ice Cream with Cherries & Fudge Flakes
Ben and Jerry's,Chillin' the Roast™,Cold Brew Coffee Ice Cream with Chocolate Cookie-Covered Coffee Liqueur Truffles & Fudge Swirls
Ben and Jerry's,Chocolate Chip Cookie Dough,Vanilla Ice Cream with Gobs of Chocolate Chip Cookie Dough
Ben and Jerry's,Chocolate Fudge Brownie,Chocolate Ice Cream with Fudge Brownies
Ben and Jerry's,Chocolate Shake It™,Chocolate Malt Milkshake Ice Cream With Salted Fudge Pieces & Marshmallow Swirls
Ben and Jerry's,Chocolate Therapy®,Chocolate Ice Cream with Chocolate Cookies & Swirls of Chocolate Pudding Ice Cream
Ben and Jerry's,Chubby Hubby®,Vanilla Malt Ice Cream with Peanutty Fudge-Covered Pretzels with Fudge & Peanut Buttery Swirls
Ben and Jerry's,Chunky Monkey®,Banana Ice Cream with Fudge Chunks & Walnuts
Ben and Jerry's,Cinnamon Buns®,Caramel Ice Cream with Cinnamon Bun Dough & a Cinnamon Streusel Swirl
Ben and Jerry's,Coffee Coffee BuzzBuzzBuzz!®,Coffee Ice Cream with Espresso Bean Fudge Chunks
Ben and Jerry's,Coffee Toffee Bar Crunch,Coffee Ice Cream with Fudge-Covered Toffee Pieces
Ben and Jerry's,Cold Brew Caramel Latte,Cold Brew & Sweet Cream Ice Creams with Salted Caramel Swirls
Ben and Jerry's,Everything But The...®,"A Collision of Chocolate & Vanilla Ice Creams mixed with Peanut Butter Cups, Fudge-Covered Toffee Pieces, White Chocolatey Chunks & Fudge-Covered Almonds"
Ben and Jerry's,Glampfire Trail Mix™,"Chocolate Ice Cream with Crunchy Pretzel Swirls, Marshmallow Swirls & Fudge-Covered Almonds"
Ben and Jerry's,Half Baked®,Chocolate & Vanilla Ice Creams mixed with Gobs of Chocolate Chip Cookie Dough & Fudge Brownies
Ben and Jerry's,Ice Cream Sammie,Vanilla Ice Cream with Chocolate Sandwich Cookies & Chocolate Cookie Swirls
Ben and Jerry's,Milk & Cookies,"Vanilla Ice Cream with a Chocolate Cookie Swirl, Chocolate Chip & Chocolate Chocolate Chip Cookies"
Ben and Jerry's,Mint Chocolate Cookie,Peppermint Ice Cream with Chocolate Sandwich Cookies
Ben and Jerry's,Minter Wonderland™,Dark Chocolate Mint Ice Cream with Marshmallow Swirls & Chocolate Cookie Swirls
Ben and Jerry's,New York Super Fudge Chunk®,"Chocolate Ice Cream with White & Dark Fudge Chunks, Pecans, Walnuts & Fudge-Covered Almonds"
Ben and Jerry's,Oat of This Swirled™,Buttery Brown Sugar Ice Cream with Fudge Flakes & Oatmeal Cinnamon Cookie Swirls
Ben and Jerry's,Peanut Butter Cup,Peanut Butter Ice Cream with Peanut Butter Cups
Ben and Jerry's,Peanut Butter World®,Milk Chocolate Ice Cream with Peanut Buttery Swirls & Chocolate Cookie Swirls
Ben and Jerry's,Phish Food®,"Chocolate Ice Cream with Gooey Marshmallow Swirls, Caramel Swirls & Fudge Fish"
Ben and Jerry's,Pistachio Pistachio,Pistachio Ice Cream with Lightly Roasted Pistachios
Ben and Jerry's,Pumpkin Cheesecake,Pumpkin Cheesecake Ice Cream with a Graham Cracker Swirl
Ben and Jerry's,"Red, White & Blueberry",Blueberry & Raspberry Ice Cream swirled with Vanilla Ice Cream with Strawberries & Shortbread Pieces
Ben and Jerry's,S'mores,"Chocolate Ice Cream with Fudge Chunks, Toasted Marshmallow & Graham Cracker Swirls"
Ben and Jerry's,Salted Caramel Almond,"Vanilla Bean Ice Cream with Roasted Almond Slivers, Fudge Flakes & a Salted Caramel Swirl"
Ben and Jerry's,Strawberry Cheesecake,Strawberry Cheesecake Ice Cream with Strawberries & a Thick Graham Cracker Swirl
Ben and Jerry's,The Tonight Dough®,Caramel & Chocolate Ice Creams with Chocolate Cookie Swirls & Gobs of Chocolate Chip Cookie Dough & Peanut Butter Cookie Dough.
Ben and Jerry's,Triple Caramel Chunk®,Caramel Ice Cream with a Swirl of Caramel & Fudge-Covered Caramel Chunks
Ben and Jerry's,Urban Bourbon™,"Burnt Caramel Ice Cream with Almonds, Fudge Flakes & Bourbon Caramel Swirls"
Ben and Jerry's,Vanilla,Vanilla Ice Cream
Ben and Jerry's,Vanilla Caramel Fudge,Vanilla Ice Cream with Swirls of Caramel & Fudge
Ben and Jerry's,Boom Chocolatta™ Cookie Core,"Mocha & Caramel Ice Creams with Chocolate Cookies, Fudge Flakes & a Chocolate Cookie Core"
Ben and Jerry's,Chocolate Chip Cookie Dough Core,Cookie Milk Ice Cream with Fudge Chips & a Chocolate Chip Cookie Dough Core
Ben and Jerry's,Sweet Like Sugar Cookie Dough Core,Sweet Cream Ice Cream with a hint of Almond flavor & Shortbread Cookies & Cherry Ice Cream with Cherries & a Sugar Cookie Dough Core
Ben and Jerry's,"Wake & "" No Bake "" Cookie Dough Core","Vanilla Ice Cream with Peanut Butter Cookies, Peanut Butter Ice Cream with Fudge Chips & a No Bake Cookie Dough Core"
Ben and Jerry's,Brownie Batter Core,Chocolate & Vanilla Ice Creams with Fudge Brownies & a Brownie Batter Core
Ben and Jerry's,Cookies & Cream Cheesecake Core,Chocolate & Cheesecake Ice Creams with Chocolate Cookies & a Cheesecake Core
Ben and Jerry's,Karamel Sutra® Core,Chocolate & Caramel Ice Creams with Fudge Chips & a Soft Caramel Core
Ben and Jerry's,Peanut Butter Fudge Core,Chocolate & Peanut Butter Ice Creams with Mini Peanut Butter Cups & a Peanut Butter Fudge Core
Haagen-Dazs,White Chocolate Raspberry Truffle Ice Cream,
Haagen-Dazs,Banana Peanut Butter Chip Ice Cream,
Haagen-Dazs,Bourbon Praline Pecan Ice Cream,
Haagen-Dazs,Bourbon Vanilla Bean Truffle Ice Cream,
Haagen-Dazs,Butter Pecan Ice Cream,
Haagen-Dazs,Caramel Soft Dipped Ice Cream Bar,
Haagen-Dazs,Caramel Cone Ice Cream,
Haagen-Dazs,Caramel Cone Ice Cream Bar,
Haagen-Dazs,Cherry Vanilla Ice Cream,
Haagen-Dazs,Chocolate Ice Cream,
Haagen-Dazs,Chocolate Soft Dipped Ice Cream Bar,
Haagen-Dazs,Chocolate Chip Cookie Dough Ice Cream,
Haagen-Dazs,Chocolate Chocolate Chip Ice Cream,
Haagen-Dazs,Chocolate Dark Chocolate Ice Cream Bar,
Haagen-Dazs,Chocolate Fudge Non-Dairy Bar,
Haagen-Dazs,Chocolate Peanut Butter Ice Cream,
Haagen-Dazs,Chocolate Salted Fudge Truffle Non-Dairy,
Haagen-Dazs,Chocolate Sea Salt Caramel HEAVEN Light Ice Cream,
Haagen-Dazs,Coconut Caramel Non-Dairy,
Haagen-Dazs,Coconut Caramel Chocolate TRIO CRISPY LAYERS,
Haagen-Dazs,Coconut Caramel Dark Chocolate Non-Dairy Bar,
Haagen-Dazs,Coffee Ice Cream,
Haagen-Dazs,Coffee Almond Crunch Ice Cream Bar,
Haagen-Dazs,Coffee Chip Ice Cream,
Haagen-Dazs,Coffee Vanilla Chocolate TRIO CRISPY LAYERS,
Haagen-Dazs,Cold Brew Espresso Chip HEAVEN Light Ice Cream,
Haagen-Dazs,Cookies and Cream Ice Cream,
Haagen-Dazs,Double Belgian Chocolate Chip Ice Cream,
Haagen-Dazs,Dulce de Leche Cookie Squares,
Haagen-Dazs,Dulce de Leche Ice Cream,
Haagen-Dazs,Green Tea Ice Cream,
Haagen-Dazs,Honey Salted Caramel Almond Ice Cream,
Haagen-Dazs,Irish Cream Cookie Squares,
Haagen-Dazs,Irish Cream Brownie Ice Cream,
Haagen-Dazs,Lemon Sorbet,
Haagen-Dazs,Lemon Raspberry White Chocolate TRIO CRISPY LAYERS,
Haagen-Dazs,Mango Ice Cream,
Haagen-Dazs,Mango Sorbet,
Haagen-Dazs,Mint Chip Ice Cream,
Haagen-Dazs,Peanut Butter Cookie Squares,
Haagen-Dazs,Peanut Butter Chip HEAVEN Light Ice Cream,
Haagen-Dazs,Peanut Butter Chocolate Fudge Non-Dairy,
Haagen-Dazs,Peanut Butter Chocolate Fudge Non-Dairy Bar,
Haagen-Dazs,Peppermint Bark Ice Cream,
Haagen-Dazs,Peppermint Bark Ice Cream Bar,
Haagen-Dazs,Pineapple Coconut Ice Cream,
Haagen-Dazs,Pistachio Ice Cream,
Haagen-Dazs,Raspberry Sorbet,
Haagen-Dazs,Rocky Road Ice Cream,
Haagen-Dazs,Rosé & Cream Ice Cream,
Haagen-Dazs,Ruby Cacao Ice Cream Bar,
Haagen-Dazs,Ruby Cacao Crackle Pistachio Sweet Cream TRIO CRISPY LAYERS,
Haagen-Dazs,Rum Raisin Ice Cream,
Haagen-Dazs,Rum Tres Leches Ice Cream,
Haagen-Dazs,Salted Caramel Chocolate TRIO CRISPY LAYERS,
Haagen-Dazs,Strawberry Ice Cream,
Haagen-Dazs,Strawberry Waffle Cone HEAVEN Light Ice Cream,
Haagen-Dazs,Triple Chocolate TRIO CRISPY LAYERS,
Haagen-Dazs,Vanilla Cookie Squares,
Haagen-Dazs,Vanilla Ice Cream,
Haagen-Dazs,Vanilla Soft Dipped Ice Cream Bar,
Haagen-Dazs,Vanilla Bean Ice Cream,
Haagen-Dazs,Vanilla Blackberry Chocolate TRIO CRISPY LAYERS,
Haagen-Dazs,Vanilla Caramel White Chocolate TRIO CRISPY LAYERS,
Haagen-Dazs,Vanilla Chocolate Chip Ice Cream,
Haagen-Dazs,Vanilla Milk Chocolate Ice Cream Bar,
Haagen-Dazs,Vanilla Milk Chocolate Almond Ice Cream Bar,
Haagen-Dazs,Vanilla Swiss Almond Ice Cream,
Haagen-Dazs,Whiskey Hazelnut Latte Ice Cream,
Haagen-Dazs,White Chocolate Raspberry Ice Cream Bar,
Talenti,ALPHONSO MANGO SORBETTO,
Talenti,BANANA CARAMEL CRUNCH,
Talenti,BELGIAN CHOCOLATE GELATO,
Talenti,BLACK RASPBERRY CHOCOLATE CHIP GELATO,
Talenti,BLACK RASPBERRY VANILLA PARFAIT,
Talenti,CARAMEL APPLE PIE GELATO,
Talenti,CARAMEL COOKIE CRUNCH GELATO,
Talenti,CARIBBEAN COCONUT GELATO,
Talenti,CHOCOLATE CHERRY CHEESECAKE,
Talenti,CHOCOLATE CHIP COOKIE DOUGH GELATO,
Talenti,CHOCOLATE PEANUT BUTTER CUP GELATO,
Talenti,COCONUT ALMOND CHOCOLATE GELATO,
Talenti,COCONUT CHOCOLATE COOKIE,
Talenti,COFFEE CHOCOLATE CHIP GELATO,
Talenti,COFFEE COOKIE CRUMBLE,
Talenti,COLD BREW COFFEE SORBETTO,
Talenti,DARK CHOCOLATE CHERRY,
Talenti,DARK CHOCOLATE SORBETTO,
Talenti,DOUBLE DARK CHOCOLATE GELATO,
Talenti,FUDGE BROWNIE GELATO,
Talenti,HAZELNUT CHOCOLATE CHIP GELATO,
Talenti,KEY LIME PIE GELATO,
Talenti,LEMON BERRY PIE,
Talenti,MADAGASCAN VANILLA BEAN GELATO,
Talenti,MEDITERRANEAN MINT GELATO,
Talenti,MINT FUDGE COOKIE,
Talenti,OLD WORLD EGGNOG GELATO,
Talenti,ORGANIC BROWN BUTTER CARAMEL,
Talenti,ORGANIC CHOCOLATE MOUSSE GELATO,
Talenti,ORGANIC GINGER MATCHA GELATO,
Talenti,ORGANIC OAK-AGED VANILLA GELATO,
Talenti,PACIFIC COAST PISTACHIO GELATO,
Talenti,PEANUT BUTTER FUDGE SORBETTO,
Talenti,PEANUT BUTTER VANILLA FUDGE,
Talenti,PEPPERMINT BARK GELATO,
Talenti,PUMPKIN PIE,
Talenti,RASPBERRY CHEESECAKE GELATO,
Talenti,ROMAN RASPBERRY SORBETTO,
Talenti,SALTED CARAMEL TRUFFLE,
Talenti,SEA SALT CARAMEL GELATO,
Talenti,SOUTHERN BUTTER PECAN GELATO,
Talenti,STRAWBERRY HIBISCUS SORBETTO,
Talenti,VANILLA BLUEBERRY CRUMBLE GELATO,
Talenti,VANILLA CARAMEL SWIRL GELATO,
Talenti,VANILLA FUDGE COOKIE,
Breyers,Natural Vanilla,
Breyers,Homemade Vanilla,
Breyers,Extra Creamy Vanilla,
Breyers,Chocolate,
Breyers,Natural Strawberry,
Breyers,Mint Chocolate Chip,
Breyers,Vanilla Chocolate Strawberry,
Breyers,Delights Creamy Chocolate,
Breyers,Delights Mint Chip,
Breyers,Delights Cookies & Cream,
Breyers,Delights Vanilla Bean,
Breyers,French Vanilla,
Breyers,CarbSmart™ Vanilla,
Breyers,Lactose Free Vanilla,
Breyers,No Sugar Added Vanilla,
Breyers,OREO®,
Breyers,OREO® & CHIPS AHOY!® 2in1,
Breyers,Vanilla Caramel,
Breyers,Vanilla Caramel Gelato Indulgences,
Breyers,Chocolate Mint,
Breyers,Peach,
Breyers,Vanilla Fudge Twirl,
Breyers,CarbSmart™ Chocolate,
Breyers,CarbSmart™ Peanut Butter,
Breyers,Lactose Free Chocolate,
Breyers,No Sugar Added Vanilla Chocolate Strawberry,
Breyers,Non-Dairy Vanilla Peanut Butter,
Breyers,Raspberry Cheesecake Gelato Indulgences,
Breyers,REESE'S,
Breyers,REESE'S & REESE'S PIECES 2in1,
Breyers,No Sugar Added Caramel Swirl,
Breyers,SNICKERS®,
Breyers,SNICKERS® & M&M'S® 2in1,
Breyers,CarbSmart™ Almond Bar,
Breyers,HEATH & Waffle Cone 2in1,
Breyers,No Sugar Added Butter Pecan,
Breyers,CarbSmart™ Vanilla Bar,
Breyers,HEATH,
Breyers,Butter Pecan,
Breyers,CarbSmart™ Fudge Bar,
Breyers,CarbSmart™ Mint Fudge Bar,
Breyers,OREO® Snack Cups 10ct,
Breyers,REESE'S Chocolate,
Breyers,Waffle Cone,
Breyers,Creamsicle,
Breyers,New York Style Cheesecake,
Breyers,Rocky Road,
Breyers,Cherry Vanilla,
Breyers,Cookies & Cream,
Breyers,Chocolate Chip Cookie Dough,
Breyers,Non-Dairy OREO® Cookies & Cream,
Breyers,Coffee,
Breyers,Vanilla Chocolate,
Breyers,Chocolate Chip,
Breyers,Extra Creamy Chocolate,
Breyers,Black Raspberry Chocolate,
Breyers,Chocolate Truffle,
Breyers,Salted Caramel,
Breyers,Ice Cream Cake,
Breyers,Coconut Fudge,
Breyers,Chocolate Peanut Butter,
Breyers,Natural Vanilla Snack Cups 10ct,
Breyers,Butterscotch Blondie,
Breyers,Chocolate Snack Cups 10ct,
Breyers,CINNABON®,
Breyers,CarbSmart™ Caramel Swirl Bar,
Breyers,Layered Dessert S'mores,
Breyers,Layered Dessert Peach Cobbler,
Breyers,Layered Dessert Brownie Cheesecake,