Rank,Title,Studio,Gross,Year
1,Avengers: Endgame,Buena Vista,"$2,796.30 ",2019
2,Avatar,Fox,"$2,789.70 ",2009
3,Titanic,Paramount,"$2,187.50 ",1997
4,Star Wars: The Force Awakens,Buena Vista,"$2,068.20 ",2015
5,Avengers: Infinity War,Buena Vista,"$2,048.40 ",2018
6,Jurassic World,Universal,"$1,671.70 ",2015
7,Marvel's The Avengers,Buena Vista,"$1,518.80 ",2012
8,Furious 7,Universal,"$1,516.00 ",2015
9,Avengers: Age of Ultron,Buena Vista,"$1,405.40 ",2015
10,Black Panther,Buena Vista,"$1,346.90 ",2018
11,Harry Potter and the Deathly Hallows Part 2,Warner Brothers,"$1,341.70 ",2011
12,Star Wars: The Last Jedi,Buena Vista,"$1,332.50 ",2017
13,Jurassic World: Fallen Kingdom,Universal,"$1,309.50 ",2018
14,Frozen,Buena Vista,"$1,276.50 ",2013
15,Beauty and the Beast,Buena Vista,"$1,263.50 ",2017
16,Incredibles 2,Buena Vista,"$1,242.80 ",2018
17,The Fate of the Furious,Universal,"$1,236.00 ",2017
18,Iron Man 3,Buena Vista,"$1,214.80 ",2013
19,Minions,Universal,"$1,159.40 ",2015
20,Captain America: Civil War,Buena Vista,"$1,153.30 ",2016
21,Aquaman,Warner Brothers,"$1,148.00 ",2018
22,Captain Marvel,Buena Vista,"$1,128.30 ",2019
23,Transformers: Dark of the Moon,Paramount,"$1,123.80 ",2011
24,The Lord of the Rings: The Return of the King,New Line,"$1,119.90 ",2003
25,Skyfall,Sony,"$1,108.60 ",2012
26,Transformers: Age of Extinction,Paramount,"$1,104.10 ",2014
27,The Dark Knight Rises,Warner Brothers,"$1,084.90 ",2012
28,Toy Story 3,Buena Vista,"$1,067.00 ",2010
29,Pirates of the Caribbean: Dead Man's Chest,Buena Vista,"$1,066.20 ",2006
30,Rogue One: A Star Wars Story,Buena Vista,"$1,056.10 ",2016
31,Pirates of the Caribbean: On Stranger Tides,Buena Vista,"$1,045.70 ",2011
32,Despicable Me 3,Universal,"$1,034.80 ",2017
33,Jurassic Park,Universal,"$1,029.50 ",1993
34,Finding Dory,Buena Vista,"$1,028.60 ",2016
35,Star Wars: Episode I - The Phantom Menace,Fox,"$1,027.00 ",1999
36,Alice in Wonderland,Buena Vista,"$1,025.50 ",2010
37,Zootopia,Buena Vista,"$1,023.80 ",2016
38,The Hobbit: An Unexpected Journey,Warner Brothers,"$1,021.10 ",2012
39,The Dark Knight,Warner Brothers,"$1,004.90 ",2008
40,Harry Potter and the Sorcerer's Stone,Warner Brothers,$975.10 ,2001
41,Despicable Me 2,Universal,$970.80 ,2013
42,The Lion King,Buena Vista,$968.50 ,1994
43,The Jungle Book,Buena Vista,$966.60 ,2016
44,Pirates of the Caribbean: At World's End,Buena Vista,$963.40 ,2007
45,Jumanji: Welcome to the Jungle,Sony,$962.10 ,2017
46,Harry Potter and the Deathly Hallows Part 1,Warner Brothers,$960.40 ,2010
47,The Hobbit: The Desolation of Smaug,Warner Brothers,$958.40 ,2013
48,The Hobbit: The Battle of the Five Armies,Warner Brothers,$956.00 ,2014
49,Finding Nemo,Buena Vista,$940.30 ,2003
50,Harry Potter and the Order of the Phoenix,Warner Brothers,$940.00 ,2007
51,Harry Potter and the Half-Blood Prince,Warner Brothers,$934.50 ,2009
52,The Lord of the Rings: The Two Towers,New Line,$926.00 ,2002
53,Shrek 2,Dreamworks,$919.80 ,2004
54,Bohemian Rhapsody,Fox,$903.70 ,2018
55,Harry Potter and the Goblet of Fire,Warner Brothers,$897.10 ,2005
56,Spider-Man 3,Sony,$890.90 ,2007
57,Ice Age: Dawn of the Dinosaurs,Fox,$886.70 ,2009
58,Spectre,Sony,$880.70 ,2015
59,Aladdin,Buena Vista,$880.20 ,2019
60,Spider-Man: Homecoming,Sony,$880.20 ,2017
61,Harry Potter and the Chamber of Secrets,Warner Brothers,$879.20 ,2002
62,Ice Age: Continental Drift,Fox,$877.20 ,2012
63,The Secret Life of Pets,Universal,$875.50 ,2016
64,Batman v Superman: Dawn of Justice,Warner Brothers,$873.60 ,2016
65,The Lord of the Rings: The Fellowship of the Ring,New Line,$871.50 ,2001
66,Wolf Warrior 2,HC,$870.30 ,2017
67,The Hunger Games: Catching Fire,Lionsgate,$865.00 ,2013
68,Guardians of the Galaxy Vol. 2,Buena Vista,$863.80 ,2017
69,Inside Out,Buena Vista,$857.60 ,2015
70,Venom,Sony,$855.00 ,2018
71,Thor: Ragnarok,Buena Vista,$854.00 ,2017
72,Star Wars: Episode III - Revenge of the Sith,Fox,$848.80 ,2005
73,Transformers: Revenge of the Fallen,Paramount,$836.30 ,2009
74,The Twilight Saga: Breaking Dawn Part 2,Lionsgate,$829.70 ,2012
75,Inception,Warner Brothers,$828.30 ,2010
76,Wonder Woman,Warner Brothers,$821.80 ,2017
77,Spider-Man,Sony,$821.70 ,2002
78,Independence Day,Fox,$817.40 ,1996
79,Fantastic Beasts and Where To Find Them,Warner Brothers,$814.00 ,2016
80,Coco,Buena Vista,$807.10 ,2017
81,Shrek the Third,Dreamworks,$799.00 ,2007
82,Harry Potter and the Prisoner of Azkaban,Warner Brothers,$796.90 ,2004
83,Pirates of the Caribbean: Dead Men Tell No Tales,Buena Vista,$794.90 ,2017
84,E.T.: The Extra-Terrestrial,Universal,$792.90 ,1982
85,Mission: Impossible - Fallout,Paramount,$791.10 ,2018
86,Fast & Furious 6,Universal,$788.70 ,2013
87,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,$786.60 ,2008
88,Deadpool 2,Fox,$785.00 ,2018
89,Spider-Man 2,Sony,$783.80 ,2004
90,Deadpool,Fox,$783.10 ,2016
91,Star Wars,Fox,$775.40 ,1977
92,Guardians of the Galaxy,Buena Vista,$773.30 ,2014
93,2012,Sony,$769.70 ,2009
94,Maleficent,Buena Vista,$758.50 ,2014
95,The Da Vinci Code,Sony,$758.20 ,2006
96,The Amazing Spider-Man,Sony,$757.90 ,2012
97,The Hunger Games: Mockingjay - Part 1,Lionsgate,$755.40 ,2014
98,Shrek Forever After,Dreamworks,$752.60 ,2010
99,X-Men: Days of Future Past,Fox,$747.90 ,2014
100,Madagascar 3: Europe's Most Wanted,Dreamworks,$746.90 ,2012
101,Suicide Squad,Warner Brothers,$746.80 ,2016
102,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Buena Vista,$745.00 ,2005
103,Monsters University,Buena Vista,$744.20 ,2013
104,The Matrix Reloaded,Warner Brothers,$742.10 ,2003
105,Up,Buena Vista,$735.10 ,2009
106,Gravity,Warner Brothers,$723.20 ,2013
107,Captain America: The Winter Soldier,Buena Vista,$714.30 ,2014
108,The Twilight Saga: Breaking Dawn Part 1,Lionsgate,$712.20 ,2011
109,Dawn of the Planet of the Apes,Fox,$710.60 ,2014
110,The Twilight Saga: New Moon,Lionsgate,$709.70 ,2009
111,Transformers,Paramount,$709.70 ,2007
112,The Amazing Spider-Man 2,Sony,$709.00 ,2014
113,It,Warner Brothers,$700.40 ,2017
114,The Wandering Earth,China Film Corporation,$699.80 ,2019
115,The Twilight Saga: Eclipse,Lionsgate,$698.50 ,2010
116,Mission: Impossible - Ghost Protocol,Paramount,$694.70 ,2011
117,The Hunger Games,Lionsgate,$694.40 ,2012
118,Mission: Impossible - Rogue Nation,Paramount,$682.70 ,2015
119,Forrest Gump,Paramount,$677.90 ,1994
120,Doctor Strange,Buena Vista,$677.70 ,2016
121,Interstellar,Paramount,$677.50 ,2014
122,The Sixth Sense,Buena Vista,$672.80 ,1999
123,Man of Steel,Warner Brothers,$668.00 ,2013
124,Kung Fu Panda 2,Dreamworks,$665.70 ,2011
125,Ice Age: The Meltdown,Fox,$660.90 ,2006
126,Justice League,Warner Brothers,$657.90 ,2017
127,Big Hero 6,Buena Vista,$657.80 ,2014
128,Pirates of the Caribbean: The Curse of the Black Pearl,Buena Vista,$654.30 ,2003
129,Fantastic Beasts: The Crimes of Grindelwald,Warner Brothers,$653.80 ,2018
130,The Hunger Games: Mockingjay - Part 2,Lionsgate,$653.40 ,2015
131,Star Wars: Episode II - Attack of the Clones,Fox,$649.40 ,2002
132,Thor: The Dark World,Buena Vista,$644.60 ,2013
133,Moana,Buena Vista,$643.30 ,2016
134,Sing,Universal,$634.20 ,2016
135,The Incredibles,Buena Vista,$633.00 ,2004
136,Kung Fu Panda,Dreamworks,$631.70 ,2008
137,The Martian,Fox,$630.20 ,2015
138,Fast Five,Universal,$626.10 ,2011
139,Hancock,Sony,$624.40 ,2008
140,MIB 3,Sony,$624.00 ,2012
141,Iron Man 2,Paramount,$623.90 ,2010
142,Ant-Man and the Wasp,Buena Vista,$622.70 ,2018
143,How to Train Your Dragon 2,Fox,$621.50 ,2014
144,Ratatouille,Buena Vista,$620.70 ,2007
145,Logan,Fox,$619.00 ,2017
146,The Lost World: Jurassic Park,Universal,$618.60 ,1997
147,The Passion of the Christ,Newmarket,$611.90 ,2004
148,Mamma Mia!,Universal,$609.90 ,2008
149,Life of Pi,Fox,$609.00 ,2012
150,Transformers: The Last Knight,Paramount,$605.40 ,2017
151,Madagascar: Escape 2 Africa,Dreamworks,$603.90 ,2008
152,Casino Royale,Sony,$599.00 ,2006
153,Tangled,Buena Vista,$591.80 ,2010
154,War of the Worlds,Paramount,$591.70 ,2005
155,Men in Black,Sony,$589.40 ,1997
156,The Croods,Fox,$587.20 ,2013
157,The Hangover Part II,Warner Brothers,$586.80 ,2011
158,Quantum of Solace,Sony,$586.10 ,2008
159,I Am Legend,Warner Brothers,$585.30 ,2007
160,Iron Man,Paramount,$585.20 ,2008
161,Ready Player One,Warner Brothers,$582.90 ,2018
162,Operation Red Sea,WGUSA,$579.20 ,2018
163,"Monsters, Inc.",Buena Vista,$577.40 ,2001
164,Night at the Museum,Fox,$574.50 ,2006
165,Fifty Shades of Grey,Universal,$571.00 ,2015
166,Kong: Skull Island,Warner Brothers,$566.70 ,2017
167,The Smurfs,Sony,$563.70 ,2011
168,Cars 2,Buena Vista,$562.10 ,2011
169,Puss in Boots,Dreamworks,$555.00 ,2011
170,The Mermaid (Mei ren yu),Sony,$553.80 ,2016
171,Armageddon,Buena Vista,$553.70 ,1998
172,King Kong,Universal,$550.50 ,2005
173,Ted,Universal,$549.40 ,2012
174,American Sniper,Warner Brothers,$547.40 ,2014
175,Mission: Impossible II,Paramount,$546.40 ,2000
176,Sherlock Holmes: A Game of Shadows,Warner Brothers,$545.40 ,2011
177,The Day After Tomorrow,Fox,$544.30 ,2004
178,Detective Chinatown 2,Warner Brothers,$544.10 ,2018
179,X-Men: Apocalypse,Fox,$543.90 ,2016
180,Cinderella,Buena Vista,$543.50 ,2015
181,Despicable Me,Universal,$543.10 ,2010
182,Brave,Buena Vista,$540.40 ,2012
183,World War Z,Paramount,$540.00 ,2013
184,The Empire Strikes Back,Fox,$538.40 ,1980
185,WALL-E,Buena Vista,$533.30 ,2008
186,The Revenant,Fox,$533.00 ,2015
187,Madagascar,Dreamworks,$532.70 ,2005
188,The Meg,Warner Brothers,$530.20 ,2018
189,Ralph Breaks the Internet,Buena Vista,$529.30 ,2018
190,Godzilla,Warner Brothers,$529.10 ,2014
191,Hotel Transylvania 3: Summer Vacation,Sony,$528.60 ,2018
192,The Boss Baby,Fox,$528.00 ,2017
193,The Simpsons Movie,Fox,$527.10 ,2007
194,Dunkirk,Warner Brothers,$526.90 ,2017
195,Sherlock Holmes,Warner Brothers,$524.00 ,2009
196,Kung Fu Panda 3,Fox,$521.20 ,2016
197,Terminator 2: Judgment Day,TriStar,$520.90 ,1991
198,Toy Story 4,Buena Vista,$519.80 ,2019
199,How to Train Your Dragon: The Hidden World,Universal,$519.80 ,2019
200,Ant-Man,Buena Vista,$519.30 ,2015
201,Meet the Fockers,Universal,$516.60 ,2004
202,Dr. Seuss' The Grinch,Universal,$511.60 ,2018
203,Ghost,Paramount,$505.70 ,1990
204,Aladdin,Buena Vista,$504.10 ,1992
205,Rio 2,Fox,$500.10 ,2014
206,Troy,Warner Brothers,$497.40 ,2004
207,Toy Story 2,Buena Vista,$497.40 ,1999
208,How to Train Your Dragon,Dreamworks,$494.90 ,2010
209,Twister,Warner Brothers,$494.50 ,1996
210,Teenage Mutant Ninja Turtles,Paramount,$493.30 ,2014
211,Oz The Great and Powerful,Buena Vista,$493.30 ,2013
212,Clash of the Titans,Warner Brothers,$493.20 ,2010
213,War for the Planet of the Apes,Fox,$490.70 ,2017
214,Angels & Demons,Sony,$485.90 ,2009
215,Rio,Fox,$484.60 ,2011
216,Bruce Almighty,Universal,$484.60 ,2003
217,Shrek,Dreamworks,$484.40 ,2001
218,Saving Private Ryan,Dreamworks,$482.30 ,1998
219,Rise of the Planet of the Apes,Fox,$481.80 ,2011
220,Mr. & Mrs. Smith,Fox,$478.20 ,2005
221,Home Alone,Fox,$476.70 ,1990
222,Return of the Jedi,Fox,$475.10 ,1983
223,Charlie and the Chocolate Factory,Warner Brothers,$475.00 ,2005
224,Hotel Transylvania 2,Sony,$474.80 ,2015
225,Indiana Jones and the Last Crusade,Paramount,$474.20 ,1989
226,San Andreas,Warner Brothers,$474.00 ,2015
227,Wreck-It Ralph,Buena Vista,$471.20 ,2012
228,Jaws,Universal,$470.70 ,1975
229,The LEGO Movie,Warner Brothers,$469.20 ,2014
230,Bumblebee,Paramount,$468.00 ,2018
231,The Hangover,Warner Brothers,$467.50 ,2009
232,Star Trek Into Darkness,Paramount,$467.40 ,2013
233,The Matrix,Warner Brothers,$463.50 ,1999
234,Pretty Woman,Buena Vista,$463.40 ,1990
235,Lucy,Universal,$463.40 ,2014
236,Cars,Buena Vista,$462.20 ,2006
237,Gladiator,Dreamworks,$460.60 ,2000
238,X-Men: The Last Stand,Fox,$459.40 ,2006
239,Mission: Impossible,Paramount,$457.70 ,1996
240,National Treasure: Book of Secrets,Buena Vista,$457.40 ,2007
241,The Last Samurai,Warner Brothers,$456.80 ,2003
242,300,Warner Brothers,$456.10 ,2007
243,Ocean's Eleven,Warner Brothers,$450.70 ,2001
244,Thor,Paramount,$449.30 ,2011
245,Pearl Harbor,Buena Vista,$449.20 ,2001
246,Tarzan,Buena Vista,$448.20 ,1999
247,La La Land,Lionsgate,$446.10 ,2016
248,Alvin and the Chipmunks: The Squeakquel,Fox,$443.10 ,2009
249,The Bourne Ultimatum,Universal,$442.80 ,2007
250,Men in Black II,Sony,$441.80 ,2002
251,Les Miserables,Universal,$441.80 ,2012
252,The Exorcist,Warner Brothers,$441.30 ,1973
253,Mrs. Doubtfire,Fox,$441.30 ,1993
254,Terminator: Genisys,Paramount,$440.60 ,2015
255,The Greatest Showman,Fox,$435.00 ,2017
256,A Star is Born,Warner Brothers,$434.90 ,2018
257,Warcraft,Universal,$433.70 ,2016
258,Terminator 3: Rise of the Machines,Warner Brothers,$433.40 ,2003
259,The Mummy Returns,Universal,$433.00 ,2001
260,Die Another Day,MGM,$432.00 ,2002
261,Cast Away,Fox,$429.60 ,2000
262,Rampage,Warner Brothers,$428.00 ,2018
263,Pokemon Detective Pikachu,Warner Brothers,$427.50 ,2019
264,The Matrix Revolutions,Warner Brothers,$427.30 ,2003
265,The Intouchables,Weinstein,$426.60 ,2012
266,Django Unchained,Weinstein,$425.40 ,2012
267,Beauty and the Beast,Buena Vista,$425.00 ,1991
268,Dances with Wolves,Orion,$424.20 ,1990
269,The Chronicles of Narnia: Prince Caspian,Buena Vista,$419.70 ,2008
270,The Mummy,Universal,$415.90 ,1999
271,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,$415.70 ,2010
272,Jason Bourne,Universal,$415.50 ,2016
273,Sex and the City,Warner Brothers,$415.30 ,2008
274,The Wolverine,Fox,$414.80 ,2013
275,Kingsman: The Secret Service,Fox,$414.40 ,2015
276,The King's Speech,Weinstein,$414.20 ,2010
277,Night at the Museum: Battle of the Smithsonian,Fox,$413.10 ,2009
278,Batman,Warner Brothers,$411.50 ,1989
279,The Bodyguard,Warner Brothers,$411.00 ,1992
280,Pacific Rim,Warner Brothers,$411.00 ,2013
281,Kingsman: The Golden Circle,Fox,$410.90 ,2017
282,The Mummy,Universal,$409.20 ,2017
283,Ice Age: Collision Course,Fox,$408.60 ,2016
284,Signs,Buena Vista,$408.20 ,2002
285,X2: X-Men United,Fox,$407.70 ,2003
286,Alita: Battle Angel,Fox,$404.90 ,2019
287,Prometheus,Fox,$403.40 ,2012
288,Gone with the Wind,MGM,$402.40 ,1939
289,The Mummy: Tomb of the Dragon Emperor,Universal,$401.10 ,2008
290,Tron Legacy,Buena Vista,$400.10 ,2010
291,Mission: Impossible III,Paramount,$397.90 ,2006
292,Snow White and the Huntsman,Universal,$396.60 ,2012
293,Grease,Paramount,$396.20 ,1978
294,Mamma Mia! Here We Go Again,Universal,$395.00 ,2018
295,Twilight,Lionsgate,$393.60 ,2008
296,Solo: A Star Wars Story,Buena Vista,$392.90 ,2018
297,The Wolf of Wall Street,Paramount,$392.00 ,2013
298,Superman Returns,Warner Brothers,$391.10 ,2006
299,Robin Hood: Prince of Thieves,Warner Brothers,$390.50 ,1991
300,Raiders of the Lost Ark,Paramount,$389.90 ,1981
301,Independence Day: Resurgence,Fox,$389.70 ,2016
302,Home,Fox,$386.00 ,2015
303,Star Trek,Paramount,$385.70 ,2009
304,Monster Hunt,FR,$385.30 ,2016
305,Happy Feet,Warner Brothers,$384.30 ,2006
306,Cars 3,Buena Vista,$383.90 ,2017
307,Live Free or Die Hard,Fox,$383.50 ,2007
308,Ice Age,Fox,$383.30 ,2002
309,Fifty Shades Darker,Universal,$381.50 ,2017
310,Monsters Vs. Aliens,Dreamworks,$381.50 ,2009
311,Back to the Future,Universal,$381.10 ,1985
312,Godzilla,Sony,$379.00 ,1998
313,True Lies,Fox,$378.90 ,1994
314,Mad Max: Fury Road,Warner Brothers,$378.90 ,2015
315,Godzilla: King of the Monsters,Warner Brothers,$378.10 ,2019
316,Slumdog Millionaire,Fox,$377.90 ,2008
317,Taken 2,Fox,$376.10 ,2012
318,G.I. Joe: Retaliation,Paramount,$375.70 ,2013
319,Spider-Man: Into The Spider-Verse,Sony,$375.50 ,2018
320,Batman Begins,Warner Brothers,$374.20 ,2005
321,What Women Want,Paramount,$374.10 ,2000
322,The Adventures of Tintin,Paramount,$374.00 ,2011
323,Toy Story,Buena Vista,$373.60 ,1995
324,X-Men Origins: Wolverine,Fox,$373.10 ,2009
325,Penguins of Madagascar,Fox,$373.00 ,2014
326,The Golden Compass,New Line,$372.20 ,2007
327,Fifty Shades Freed,Universal,$371.90 ,2018
328,Terminator Salvation,Warner Brothers,$371.40 ,2009
329,Captain America: The First Avenger,Paramount,$370.60 ,2011
330,Edge of Tomorrow,Warner Brothers,$370.50 ,2014
331,There's Something About Mary,Fox,$369.90 ,1998
332,Gone Girl,Fox,$369.30 ,2014
333,The Fugitive,Warner Brothers,$368.90 ,1993
334,Jurassic Park III,Universal,$368.80 ,2001
335,My Big Fat Greek Wedding,IFC,$368.70 ,2002
336,Hitch,Sony,$368.10 ,2005
337,Shark Tale,Dreamworks,$367.30 ,2004
338,Die Hard: With A Vengeance,Fox,$366.10 ,1995
339,The Nun,Warner Brothers,$365.60 ,2018
340,Shazam!,Warner Brothers,$364.10 ,2019
341,Notting Hill,Universal,$363.90 ,1999
342,A Bug's Life,Buena Vista,$363.30 ,1998
343,Night at the Museum: Secret of the Tomb,Fox,$363.20 ,2014
344,Fast and Furious,Universal,$363.20 ,2009
345,Ocean's Twelve,Warner Brothers,$362.70 ,2004
346,Noah,Paramount,$362.60 ,2014
347,Planet of the Apes,Fox,$362.20 ,2001
348,The Hangover Part III,Warner Brothers,$362.00 ,2013
349,The World Is Not Enough,MGM,$361.80 ,1999
350,Monster Hunt 2,Lionsgate,$361.70 ,2018
351,Alvin and the Chipmunks,Fox,$361.30 ,2007
352,The Karate Kid,Sony,$359.10 ,2010
353,Home Alone 2: Lost in New York,Fox,$359.00 ,1992
354,Hotel Transylvania,Sony,$358.40 ,2012
355,Minority Report,Fox,$358.40 ,2002
356,Your Name.,FUN,$358.00 ,2017
357,Top Gun,Paramount,$356.80 ,1986
358,The Legend of Tarzan,Warner Brothers,$356.70 ,2016
359,American Beauty,Dreamworks,$356.30 ,1999
360,Apollo 13,Universal,$355.20 ,1995
361,Rain Man,MGM,$354.80 ,1988
362,The Great Gatsby,Warner Brothers,$353.60 ,2013
363,X-Men: First Class,Fox,$353.60 ,2011
364,Basic Instinct,TriStar,$352.90 ,1992
365,Murder on the Orient Express,Fox,$352.80 ,2017
366,The Angry Birds Movie,Sony,$352.30 ,2016
367,GoldenEye,MGM,$352.20 ,1995
368,Catch Me If You Can,Dreamworks,$352.10 ,2002
369,Dumbo,Buena Vista,$351.80 ,2019
370,Now You See Me,Lionsgate,$351.70 ,2013
371,Hannibal,MGM,$351.70 ,2001
372,The Mask,New Line,$351.60 ,1994
373,Peter Rabbit,Sony,$351.30 ,2018
374,Speed,Fox,$350.40 ,1994
375,Dinosaur,Buena Vista,$349.80 ,2000
376,Mary Poppins Returns,Buena Vista,$349.50 ,2018
