Rank,Title,Studio,Gross,Year
377,Deep Impact,Paramount,$349.50 ,1998
378,Dr. Seuss' The Lorax,Universal,$348.80 ,2012
379,The Maze Runner,Fox,$348.30 ,2014
380,The Smurfs 2,Sony,$347.50 ,2013
381,National Treasure,Buena Vista,$347.50 ,2004
382,Rush Hour 2,New Line,$347.30 ,2001
383,"I, Robot",Fox,$347.20 ,2004
384,Trolls,Fox,$346.90 ,2016
385,xXx: The Return of Xander Cage,Paramount,$346.10 ,2017
386,Pocahontas,Buena Vista,$346.10 ,1995
387,How the Grinch Stole Christmas,Universal,$345.10 ,2000
388,Star Trek Beyond,Paramount,$343.50 ,2016
389,Alvin and the Chipmunks: Chipwrecked,Fox,$342.70 ,2011
390,The Flintstones,Universal,$341.60 ,1994
391,Wanted,Universal,$341.40 ,2008
392,A Quiet Place,Paramount,$340.90 ,2018
393,Enchanted,Buena Vista,$340.50 ,2007
394,300: Rise of An Empire,Warner Brothers,$337.60 ,2014
395,Batman Forever,Warner Brothers,$336.60 ,1995
396,Prince of Persia: The Sands of Time,Buena Vista,$336.40 ,2010
397,Over the Hedge,Dreamworks,$336.00 ,2006
398,Journey 2: The Mysterious Island,Warner Brothers,$335.30 ,2012
399,The Rock,Buena Vista,$335.10 ,1996
400,The Great Wall,Universal,$334.90 ,2017
401,Now You See Me 2,Lionsgate,$334.90 ,2016
402,The Curious Case of Benjamin Button,Paramount,$333.90 ,2008
403,Indiana Jones and the Temple of Doom,Paramount,$333.10 ,1984
404,Tomorrow Never Dies,MGM,$333.00 ,1997
405,The Good Dinosaur,Buena Vista,$332.20 ,2015
406,Back to the Future Part II,Universal,$332.00 ,1989
407,22 Jump Street,Sony,$331.30 ,2014
408,Fantastic Four,Fox,$330.60 ,2005
409,Meet the Parents,Universal,$330.40 ,2000
410,Who Framed Roger Rabbit,Buena Vista,$329.80 ,1988
411,Black Swan,Fox,$329.40 ,2010
412,The Perfect Storm,Warner Brothers,$328.70 ,2000
413,Crocodile Dundee,Paramount,$328.20 ,1986
414,Seven,New Line,$327.30 ,1995
415,The Devil Wears Prada,Fox,$326.60 ,2006
416,Taken 3,Fox,$326.50 ,2015
417,The Hunchback of Notre Dame,Buena Vista,$325.30 ,1996
418,A Christmas Carol,Buena Vista,$325.30 ,2009
419,The SpongeBob Movie: Sponge Out of Water,Paramount,$325.20 ,2015
420,Schindler's List,Universal,$322.10 ,1993
421,Megamind,Dreamworks,$321.90 ,2010
422,Lethal Weapon 3,Warner Brothers,$321.70 ,1992
423,Robin Hood,Universal,$321.70 ,2010
424,Inglourious Basterds,Weinstein,$321.50 ,2009
425,101 Dalmatians,Buena Vista,$320.70 ,1996
426,The Conjuring 2,Warner Brothers,$320.40 ,2016
427,Green Book,Universal,$320.30 ,2018
428,Fatal Attraction,Paramount,$320.10 ,1987
429,The Last Airbender,Paramount,$319.70 ,2010
430,The Conjuring,Warner Brothers,$319.50 ,2013
431,The Proposal,Buena Vista,$317.40 ,2009
432,Beverly Hills Cop,Paramount,$316.40 ,1984
433,Air Force One,Sony,$315.20 ,1997
434,The Expendables 2,Lionsgate,$315.00 ,2012
435,Chicken Little,Buena Vista,$314.40 ,2005
436,As Good as It Gets,Sony,$314.20 ,1997
437,A Beautiful Mind,Universal,$313.50 ,2001
438,Maze Runner: The Scorch Trials,Fox,$312.30 ,2015
439,Resident Evil: The Final Chapter,Sony,$312.20 ,2017
440,Austin Powers: The Spy Who Shagged Me,New Line,$312.00 ,1999
441,The LEGO Batman Movie,Warner Brothers,$312.00 ,2017
442,The Polar Express,Warner Brothers,$311.40 ,2004
443,Ocean's Thirteen,Warner Brothers,$311.30 ,2007
444,Little Fockers,Universal,$310.70 ,2010
445,Bolt,Buena Vista,$310.00 ,2008
446,Ransom,Buena Vista,$309.50 ,1996
447,Runaway Bride,Paramount,$309.50 ,1999
448,The Blind Side,Warner Brothers,$309.20 ,2009
449,The Fault in our Stars,Fox,$307.20 ,2014
450,The Pursuit of Happyness,Sony,$307.10 ,2006
451,Rise of the Guardians,Dreamworks,$306.90 ,2012
452,Close Encounters of the Third Kind,Columbia,$306.90 ,1977
453,Chicago,Miramax,$306.80 ,2002
454,Annabelle: Creation,Warner Brothers,$306.50 ,2017
455,Wonder,Lionsgate,$305.90 ,2017
456,Wrath of the Titans,Warner Brothers,$305.30 ,2012
457,Skyscraper,Universal,$304.90 ,2018
458,John Wick: Chapter 3 - Parabellum,Lionsgate,$304.70 ,2019
459,A Good Day to Die Hard,Fox,$304.70 ,2013
460,Mulan,Buena Vista,$304.30 ,1998
461,Passengers,Sony,$303.10 ,2016
462,Battleship,Universal,$303.00 ,2012
463,Dangal,UTV,$302.90 ,2016
464,Liar Liar,Universal,$302.70 ,1997
465,G.I. Joe: The Rise of Cobra,Paramount,$302.50 ,2009
466,Hook,TriStar,$300.90 ,1991
467,Rocky IV,MGM,$300.50 ,1985
468,Superman,Warner Brothers,$300.50 ,1978
469,Rambo: First Blood Part II,TriStar,$300.40 ,1985
470,Van Helsing,Universal,$300.30 ,2004
471,Resident Evil: Afterlife,Sony,$300.20 ,2010
472,Stuart Little,Sony,$300.10 ,1999
473,Beverly Hills Cop II,Paramount,$300.00 ,1987
474,Alice Through the Looking Glass,Buena Vista,$299.50 ,2016
475,My Best Friend's Wedding,Sony,$299.30 ,1997
476,Real Steel,Buena Vista,$299.30 ,2011
477,Ocean's 8,Warner Brothers,$297.70 ,2018
478,The Divergent Series: Insurgent,Lionsgate,$297.30 ,2015
479,Dr. Seuss' Horton Hears a Who!,Fox,$297.10 ,2008
480,Look Who's Talking,TriStar,$297.00 ,1989
481,Austin Powers in Goldmember,New Line,$296.70 ,2002
482,Miss Peregrine's Home for Peculiar Children,Fox,$296.50 ,2016
483,X-Men,Fox,$296.30 ,2000
484,Ferdinand,Fox,$296.10 ,2017
485,Ghostbusters,Columbia,$295.20 ,1984
486,Shutter Island,Paramount,$294.80 ,2010
487,Doctor Dolittle,Fox,$294.50 ,1998
488,Salt,Sony,$293.50 ,2010
489,G-Force,Buena Vista,$292.80 ,2009
490,The Departed,Warner Brothers,$291.50 ,2006
491,What Lies Beneath,Dreamworks,$291.40 ,2000
492,Pacific Rim Uprising,Universal,$290.90 ,2018
493,Shakespeare in Love,Miramax,$289.30 ,1998
494,Fantastic Four: Rise of the Silver Surfer,Fox,$289.00 ,2007
495,Divergent,Lionsgate,$288.90 ,2014
496,Coming to America,Paramount,$288.80 ,1988
497,The Bourne Supremacy,Universal,$288.50 ,2004
498,Bridesmaids,Universal,$288.40 ,2011
499,Sex and the City 2,Warner Brothers,$288.30 ,2010
500,Maze Runner: The Death Cure,Fox,$288.30 ,2018
501,Casper,Universal,$287.90 ,1995
502,Bee Movie,Dreamworks,$287.60 ,2007
503,American Pie 2,Universal,$287.60 ,2001
504,Pitch Perfect 2,Universal,$287.50 ,2015
505,The Green Mile,Warner Brothers,$286.80 ,1999
506,Oblivion,Universal,$286.20 ,2013
507,Elysium,TriStar,$286.10 ,2013
508,Lethal Weapon 4,Warner Brothers,$285.40 ,1998
509,Wedding Crashers,New Line,$285.20 ,2005
510,John Carter,Buena Vista,$284.10 ,2012
511,Turbo,Fox,$282.60 ,2013
512,Bridget Jones's Diary,Miramax,$281.90 ,2001
513,Split,Universal,$278.50 ,2017
514,The Tourist,Sony,$278.30 ,2010
515,Scary Movie,Miramax,$278.00 ,2000
516,XXX,SonR,$277.40 ,2002
517,Spirited Away,Buena Vista,$277.30 ,2002
518,The Bourne Legacy,Universal,$276.10 ,2012
519,Mr. Peabody & Sherman,Fox,$275.70 ,2014
520,Scooby-Doo,Warner Brothers,$275.70 ,2002
521,Lincoln,Buena Vista,$275.30 ,2012
522,Lara Croft: Tomb Raider,Paramount,$274.70 ,2001
523,Tomb Raider,Warner Brothers,$274.70 ,2018
524,The Expendables,Lionsgate,$274.50 ,2010
525,Cloudy with a Chance of Meatballs 2,Sony,$274.30 ,2013
526,The Nutty Professor,Universal,$274.00 ,1996
527,Jerry Maguire,Sony,$273.60 ,1996
528,Bad Boys II,Sony,$273.30 ,2003
529,Lilo & Stitch,Buena Vista,$273.10 ,2002
530,The Silence of the Lambs,Orion,$272.70 ,1991
531,Grown Ups,Sony,$271.40 ,2010
532,Neighbors,Universal,$270.70 ,2014
533,The Firm,Paramount,$270.20 ,1993
534,We're the Millers,Warner Brothers,$270.00 ,2013
535,Gran Torino,Warner Brothers,$270.00 ,2008
536,"10,000 B.C.",Warner Brothers,$269.80 ,2008
537,Epic,Fox,$268.40 ,2013
538,Exodus: Gods and Kings,Fox,$268.20 ,2014
539,Paddington,Dimension,$268.00 ,2015
540,Bambi,RKO,$267.40 ,1942
541,The Princess and the Frog,Buena Vista,$267.00 ,2009
542,Batman Returns,Warner Brothers,$266.90 ,1992
543,Something's Gotta Give,Sony,$266.70 ,2003
544,Indecent Proposal,Paramount,$266.60 ,1993
545,American Gangster,Universal,$266.50 ,2007
546,Waterworld,Universal,$264.20 ,1995
547,The Truman Show,Paramount,$264.10 ,1998
548,Charlie's Angels,Sony,$264.10 ,2000
549,The Fifth Element,Sony,$263.90 ,1997
550,The Incredible Hulk,Universal,$263.40 ,2008
551,Jumanji,Sony,$262.80 ,1995
552,Bridget Jones: The Edge of Reason,Universal,$262.50 ,2004
553,Knight & Day,Fox,$261.90 ,2010
554,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,$261.60 ,2006
555,Total Recall,Sony,$261.30 ,1990
556,Michael Jackson's This Is It,Sony,$261.20 ,2009
557,Robots,Fox,$260.70 ,2005
558,The Lone Ranger,Buena Vista,$260.50 ,2013
559,Super 8,Paramount,$260.10 ,2011
560,Mojin: The Lost Legend,WGUSA,$259.40 ,2015
561,Blade Runner 2049,Warner Brothers,$259.20 ,2017
562,Charlie's Angels: Full Throttle,Sony,$259.20 ,2003
563,Rush Hour 3,New Line,$258.00 ,2007
564,The Full Monty,Fox,$257.90 ,1997
565,Annabelle,Warner Brothers,$257.00 ,2014
566,The Village,Buena Vista,$256.70 ,2004
567,Lost in Hong Kong,WGUSA,$256.30 ,2015
568,Erin Brockovich,Universal,$256.30 ,2000
569,Halloween,Universal,$255.50 ,2018
570,Get Out,Universal,$255.40 ,2017
571,Cliffhanger,TriStar,$255.00 ,1993
572,Us,Universal,$254.70 ,2019
573,Kung Fu Yoga,WGUSA,$254.20 ,2017
574,Baahubali 2: The Conclusion,GrtIndia,$254.20 ,2017
575,Babe,Universal,$254.10 ,1995
576,Wild Hogs,Buena Vista,$253.60 ,2007
577,High School Musical 3: Senior Year,Buena Vista,$252.90 ,2008
578,Hercules,Buena Vista,$252.70 ,1997
579,True Grit,Paramount,$252.30 ,2010
580,Bean,Polygram,$251.20 ,1997
581,American Hustle,Sony,$251.20 ,2013
582,You've Got Mail,Warner Brothers,$250.80 ,1998
583,Enemy of the State,Buena Vista,$250.60 ,1998
584,Brother Bear,Buena Vista,$250.40 ,2003
585,The Mask of Zorro,Sony,$250.30 ,1998
586,Eragon,Fox,$249.50 ,2006
587,The Ring,Dreamworks,$249.30 ,2002
588,The Blair Witch Project,Artisan,$248.60 ,1999
589,Unbreakable,Buena Vista,$248.10 ,2000
590,Dumb and Dumber,New Line,$247.30 ,1994
591,Glass,Universal,$247.00 ,2019
592,Grown Ups 2,Sony,$247.00 ,2013
593,Love Actually,Universal,$246.90 ,2003
594,Journey to the West: The Demons Strike Back,Sony,$246.60 ,2017
595,The Peanuts Movie,Fox,$246.20 ,2015
596,Rango,Paramount,$245.70 ,2011
597,Four Weddings and a Funeral,Polygram,$245.70 ,1994
598,Face/Off,Paramount,$245.70 ,1997
599,Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount,$245.60 ,2016
600,Dark Shadows,Warner Brothers,$245.50 ,2012
601,Hulk,Universal,$245.40 ,2003
602,Bienvenue chez les Ch'tis,Pathe,$245.10 ,2008
603,Dark Phoenix,Fox,$245.10 ,2019
604,The Godfather,Paramount,$245.10 ,1972
605,Pixels,Sony,$244.90 ,2015
606,Hercules,Paramount,$244.80 ,2014
607,Back to the Future Part III,Universal,$244.50 ,1990
608,Rush Hour,New Line,$244.40 ,1998
609,After Earth,Sony,$243.80 ,2013
610,A Few Good Men,Columbia,$243.20 ,1992
611,Cloudy with a Chance of Meatballs,Sony,$243.00 ,2009
612,8 Mile,Universal,$242.90 ,2002
613,Daddy's Home,Paramount,$242.80 ,2015
614,Marley and Me,Fox,$242.70 ,2008
615,RoboCop,Sony,$242.70 ,2014
616,Eraser,Warner Brothers,$242.30 ,1996
617,Journey to the Center of the Earth,Warner Brothers,$242.00 ,2008
618,Assassin's Creed,Fox,$240.90 ,2016
619,Alien: Covenant,Fox,$240.90 ,2017
620,Sully,Warner Brothers,$240.80 ,2016
621,Die Hard 2: Die Harder,Fox,$240.00 ,1990
622,Resident Evil: Retribution,Sony,$240.00 ,2012
623,Crocodile Dundee II,Paramount,$239.60 ,1988
624,Planes,Buena Vista,$239.30 ,2013
625,Crazy Rich Asians,Warner Brothers,$238.50 ,2018
626,Batman and Robin,Warner Brothers,$238.20 ,1997
627,Click,SonR,$237.70 ,2006
628,Gulliver's Travels,Fox,$237.40 ,2010
629,Gone in 60 Seconds,Buena Vista,$237.20 ,2000
630,Saturday Night Fever,Paramount,$237.10 ,1977
631,Silver Linings Playbook,Weinstein,$236.40 ,2012
632,2 Fast 2 Furious,Universal,$236.40 ,2003
633,Howl's Moving Castle,Buena Vista,$236.00 ,2005
634,Hidden Figures,Fox,$236.00 ,2016
635,A.I. Artificial Intelligence,Warner Brothers,$235.90 ,2001
636,Dead Poets Society,Buena Vista,$235.90 ,1989
637,Spy,Fox,$235.70 ,2015
638,American Pie,Universal,$235.50 ,1999
639,American Reunion,Universal,$235.00 ,2012
640,Big Daddy,Sony,$234.80 ,1999
641,Alvin and the Chipmunks: The Road Chip,Fox,$234.80 ,2015
642,The Imitation Game,Weinstein,$233.60 ,2014
643,The Day the Earth Stood Still,Fox,$233.10 ,2008
644,The Girl with the Dragon Tattoo,Sony,$232.60 ,2011
645,Argo,Warner Brothers,$232.30 ,2012
646,The English Patient,Miramax,$232.00 ,1996
647,Sister Act,Buena Vista,$231.60 ,1992
648,American Wedding,Universal,$231.40 ,2003
649,Juno,Fox,$231.40 ,2007
650,Constantine,Warner Brothers,$230.90 ,2005
651,Get Smart,Warner Brothers,$230.70 ,2008
652,Space Jam,Warner Brothers,$230.40 ,1996
653,The Heat,Fox,$229.90 ,2013
654,Mr. Bean's Holiday,Universal,$229.70 ,2007
655,Life Is Beautiful,Miramax,$229.20 ,1998
656,Ghostbusters,Sony,$229.10 ,2016
657,Ghost Rider,Sony,$228.70 ,2007
658,Goodbye Mr. Loser,CL,$228.10 ,2015
659,Sleepless in Seattle,TriStar,$227.90 ,1993
660,Lethal Weapon 2,Warner Brothers,$227.90 ,1989
661,The Green Hornet,Sony,$227.80 ,2011
662,Out of Africa,Universal,$227.50 ,1985
663,Paddington 2,Warner Brothers,$227.30 ,2018
664,Baby Driver,TriStar,$226.90 ,2017
665,Immortals,Rela.,$226.90 ,2011
666,Taken,Fox,$226.80 ,2009
667,Percy Jackson & The Olympians: The Lightning Thief,Fox,$226.50 ,2010
668,Hansel and Gretel: Witch Hunters,Paramount,$226.30 ,2013
669,Good Will Hunting,Miramax,$225.90 ,1997
670,The Secret Life of Pets 2,Universal,$225.90 ,2019
671,Valerian and the City of a Thousand Planets,Lionsgate,$225.90 ,2017
672,The Social Network,Sony,$224.90 ,2010
673,Chicken Run,Dreamworks,$224.80 ,2000
674,Con Air,Buena Vista,$224.00 ,1997
675,Interview with the Vampire,Warner Brothers,$223.70 ,1994
676,Flightplan,Buena Vista,$223.40 ,2005
677,Yes Man,Warner Brothers,$223.20 ,2008
678,Non-Stop,Universal,$222.80 ,2014
679,"Honey, I Shrunk the Kids",Buena Vista,$222.70 ,1989
680,Fahrenheit 9/11,Lions,$222.40 ,2004
681,Jumper,Fox,$222.20 ,2008
682,Wild Wild West,Warner Brothers,$222.10 ,1999
683,Geostorm,Warner Brothers,$221.60 ,2017
684,Presumed Innocent,Warner Brothers,$221.30 ,1990
685,Elf,New Line,$220.90 ,2003
686,Men in Black International,Sony,$220.80 ,2019
687,Scary Movie 3,Dimension,$220.70 ,2003
688,Inferno,Sony,$220.00 ,2016
689,Green Lantern,Warner Brothers,$219.90 ,2011
690,The Terminal,Dreamworks,$219.40 ,2004
691,What Happens in Vegas,Fox,$219.40 ,2008
692,It's Complicated,Universal,$219.10 ,2009
693,Knocked Up,Universal,$219.10 ,2007
694,Captain Phillips,Sony,$218.80 ,2013
695,The Prince of Egypt,Dreamworks,$218.60 ,1998
696,Jack Reacher,Paramount,$218.30 ,2012
697,The Emoji Movie,Sony,$217.80 ,2017
698,Collateral,Dreamworks,$217.80 ,2004
699,Dracula Untold,Universal,$217.10 ,2014
700,Central Intelligence,Warner Brothers,$217.00 ,2016
701,Million Dollar Baby,Warner Brothers,$216.80 ,2004
702,Ted 2,Universal,$216.70 ,2015
703,The Help,Buena Vista,$216.60 ,2011
704,Twins,Universal,$216.60 ,1988
705,Valentine's Day,Warner Brothers,$216.50 ,2010
706,Bad Teacher,Sony,$216.20 ,2011
707,Clear and Present Danger,Paramount,$215.90 ,1994
708,101 Dalmatians,Buena Vista,$215.90 ,1961
709,Bram Stoker's Dracula,Columbia,$215.90 ,1992
710,Vertical Limit,Sony,$215.70 ,2000
711,Ghostbusters II,Columbia,$215.40 ,1989
712,The Patriot,Sony,$215.30 ,2000
713,The Sorcerer's Apprentice,Buena Vista,$215.30 ,2010
714,Just Go With It,Sony,$214.90 ,2011
715,The Expendables 3,Lionsgate,$214.70 ,2014
716,Dirty Dancing,Vestron,$214.60 ,1987
717,Smallfoot,Warner Brothers,$214.10 ,2018
718,Creed II,MGM,$214.10 ,2018
719,Public Enemies,Universal,$214.10 ,2009
720,The Bourne Identity,Universal,$214.00 ,2002
721,Disclosure,Warner Brothers,$214.00 ,1994
722,Pulp Fiction,Miramax,$213.90 ,1994
723,The Aviator,Miramax,$213.70 ,2004
724,"Crouching Tiger, Hidden Dragon",Sony,$213.50 ,2000
725,Braveheart,Paramount,$213.20 ,1995
726,Into the Woods,Buena Vista,$213.10 ,2014
727,Bedtime Stories,Buena Vista,$212.90 ,2008
728,Miss Congeniality,Warner Brothers,$212.70 ,2000
729,Entrapment,Fox,$212.40 ,1999
730,Ace Ventura: When Nature Calls,Warner Brothers,$212.40 ,1995
731,Master and Commander: The Far Side of the World,Fox,$212.00 ,2003
732,End of Days,Universal,$212.00 ,1999
733,Bridget Jones's Baby,Universal,$212.00 ,2016
734,Battle: Los Angeles,Sony,$211.80 ,2011
735,Fury,Sony,$211.80 ,2014
736,Due Date,Warner Brothers,$211.80 ,2010
737,Kingdom of Heaven,Fox,$211.70 ,2005
738,The Little Mermaid,Buena Vista,$211.30 ,1989
739,Australia,Fox,$211.30 ,2008
740,District 9,TriStar,$210.80 ,2009
741,Moonraker,MGM,$210.30 ,1979
742,The Others,Miramax,$209.90 ,2001
743,Horrible Bosses,Warner Brothers,$209.60 ,2011
744,Red Dragon,Universal,$209.20 ,2002
745,Tomorrowland,Buena Vista,$209.20 ,2015
746,Lemony Snicket's A Series of Unfortunate Events,Paramount,$209.10 ,2004
747,Me Before You,Warner Brothers,$208.30 ,2016
748,Safe House,Universal,$208.10 ,2012
749,S.W.A.T.,Sony,$207.70 ,2003
750,Traffic,USA,$207.50 ,2000
751,The Fast and the Furious,Universal,$207.30 ,2001
752,Paranormal Activity 3,Paramount,$207.00 ,2011
753,Philadelphia,TriStar,$206.70 ,1993
754,Sleepy Hollow,Paramount,$206.10 ,1999
755,The Jungle Book,Buena Vista,$205.80 ,1967
756,London Has Fallen,Focus,$205.80 ,2016
757,Journey to the West,Magn.,$205.60 ,2014
758,JFK,Warner Brothers,$205.40 ,1991
759,White House Down,Sony,$205.40 ,2013
760,The Ugly Truth,Sony,$205.30 ,2009
761,The Holiday,Sony,$205.10 ,2006
762,A Dog's Purpose,Universal,$205.00 ,2017
763,The Break-Up,Universal,$205.00 ,2006
764,Eat Pray Love,Sony,$204.60 ,2010
765,King Arthur,Buena Vista,$203.60 ,2004
766,Everest,Universal,$203.40 ,2015
767,Vanilla Sky,Paramount,$203.40 ,2001
768,Arrival,Paramount,$203.40 ,2016
769,Need for Speed,Buena Vista,$203.30 ,2014
770,Hairspray,New Line,$202.50 ,2007
771,Ponyo,Buena Vista,$202.40 ,2009
772,Patch Adams,Universal,$202.30 ,1998
773,Fun with Dick and Jane,Sony,$202.00 ,2005
774,Teenage Mutant Ninja Turtles,New Line,$202.00 ,1990
775,Kindergarten Cop,Universal,$202.00 ,1990
776,Straight Outta Compton,Universal,$201.60 ,2015
777,21 Jump Street,Sony,$201.60 ,2012
778,Yogi Bear,Warner Brothers,$201.60 ,2010
779,Garfield: The Movie,Fox,$200.80 ,2004
780,Cats & Dogs,Warner Brothers,$200.70 ,2001
781,The Hunt for Red October,Paramount,$200.50 ,1990
782,Valkyrie,MGM,$200.30 ,2008